trackID,ob_name,focal,indID
ob015-0000,observation015,1,ob015-0000
ob015-0001,observation015,1,ob015-0001
ob015-0002,observation015,1,ob015-0002
ob015-0003,observation015,1,ob015-0003
ob015-0004,observation015,1,ob015-0004
ob015-0005,observation015,1,ob015-0005
ob015-0006,observation015,1,ob015-0006
ob015-0007,observation015,1,ob015-0007
ob015-0008,observation015,1,ob015-0008
ob015-0009,observation015,1,ob015-0009
ob015-0010,observation015,1,ob015-0010
ob015-0011,observation015,1,ob015-0006
ob015-0012,observation015,1,ob015-0012
ob015-0013,observation015,0,ob015-0013
ob015-0014,observation015,0,ob015-0014
ob015-0015,observation015,0,ob015-0015
ob027-0000,observation027,1,ob027-0000
ob027-0001,observation027,1,ob027-0001
ob027-0002,observation027,1,ob027-0002
ob027-0003,observation027,1,ob027-0003
ob027-0004,observation027,1,ob027-0004
ob027-0005,observation027,1,ob027-0005
ob027-0006,observation027,1,ob027-0006
ob027-0007,observation027,1,ob027-0005
ob027-0008,observation027,1,ob027-0004
ob027-0009,observation027,1,ob027-0006
ob027-0010,observation027,1,ob027-0006
ob027-0011,observation027,1,ob027-0006
ob036-0000,observation036,1,ob036-0000
ob036-0001,observation036,1,ob036-0001
ob036-0002,observation036,1,ob036-0002
ob036-0003,observation036,1,ob036-0003
ob036-0004,observation036,1,ob036-0004
ob036-0005,observation036,1,ob036-0005
ob036-0006,observation036,1,ob036-0006
ob036-0007,observation036,1,ob036-0007
ob036-0008,observation036,1,ob036-0008
ob036-0009,observation036,1,ob036-0009
ob036-0010,observation036,1,ob036-0010
ob036-0011,observation036,1,ob036-0000
ob036-0012,observation036,1,ob036-0010
ob044-0000,observation044,1,ob044-0000
ob044-0001,observation044,1,ob044-0001
ob044-0002,observation044,1,ob044-0002
ob044-0003,observation044,1,ob044-0003
ob044-0004,observation044,1,ob044-0004
ob044-0005,observation044,1,ob044-0005
ob044-0006,observation044,1,ob044-0006
ob044-0007,observation044,1,ob044-0004
ob044-0008,observation044,1,ob044-0000
ob044-0009,observation044,1,ob044-0000
ob044-0010,observation044,1,ob044-0010
ob044-0011,observation044,1,ob044-0011
ob044-0012,observation044,1,ob044-0012
ob044-0013,observation044,1,ob044-0013
ob044-0014,observation044,1,ob044-0014
