indID,species,age,sex
ob015-0000,gz,NULL,NULL
ob015-0001,gz,NULL,NULL
ob015-0002,gz,NULL,NULL
ob015-0003,gz,NULL,NULL
ob015-0004,gz,NULL,NULL
ob015-0005,gz,NULL,NULL
ob015-0006,pz,NULL,NULL
ob015-0007,gz,NULL,NULL
ob015-0008,gz,NULL,NULL
ob015-0009,gz,NULL,NULL
ob015-0010,gz,NULL,NULL
ob015-0011,pz,NULL,NULL
ob015-0012,pz,NULL,NULL
ob015-0013,pz,NULL,NULL
ob015-0014,pz,NULL,NULL
ob015-0015,pz,NULL,NULL
ob027-0000,gz,NULL,NULL
ob027-0001,gz,NULL,NULL
ob027-0002,gz,NULL,NULL
ob027-0003,gz,NULL,NULL
ob027-0004,gz,NULL,NULL
ob027-0005,gz,NULL,NULL
ob027-0006,gz,NULL,NULL
ob036-0000,pz,NULL,NULL
ob036-0001,pz,NULL,NULL
ob036-0002,pz,NULL,NULL
ob036-0003,pz,NULL,NULL
ob036-0004,pz,NULL,NULL
ob036-0005,pz,NULL,NULL
ob036-0006,pz,NULL,NULL
ob036-0007,pz,NULL,NULL
ob036-0008,pz,NULL,NULL
ob036-0009,pz,NULL,NULL
ob036-0010,gz,NULL,NULL
ob044-0000,pz,NULL,NULL
ob044-0001,pz,NULL,NULL
ob044-0002,pz,NULL,NULL
ob044-0003,pz,NULL,NULL
ob044-0004,pz,NULL,NULL
ob044-0005,pz,NULL,NULL
ob044-0006,pz,NULL,NULL
ob044-0010,pz,NULL,NULL
ob044-0011,pz,NULL,NULL
ob044-0012,pz,NULL,NULL
ob044-0013,pz,NULL,NULL
ob044-0014,pz,NULL,NULL
ob044-0016,gg,NULL,NULL
ob044-0017,gg,NULL,NULL
ob044-0018,gg,NULL,NULL
ob044-0019,gz,NULL,NULL
ob044-0020,pz,NULL,NULL
ob044-0021,pz,NULL,NULL
ob049-0000,pz,NULL,NULL
ob049-0001,pz,NULL,NULL
ob049-0002,pz,NULL,NULL
ob049-0003,pz,NULL,NULL
ob049-0004,pz,NULL,NULL
ob049-0005,pz,NULL,NULL
ob049-0006,pz,NULL,NULL
ob049-0007,pz,NULL,NULL
ob049-0008,pz,NULL,NULL
ob049-0009,pz,NULL,NULL
ob066-0000,gz,NULL,NULL
ob066-0001,gz,NULL,NULL
ob066-0002,gz,NULL,NULL
ob066-0003,gz,NULL,NULL
ob066-0004,gz,NULL,NULL
ob066-0005,gz,NULL,NULL
ob066-0006,gz,NULL,NULL
ob066-0007,gz,NULL,NULL
ob066-0008,gz,NULL,NULL
ob066-0018,imp,NULL,NULL
ob066-0019,imp,NULL,NULL
ob066-0020,imp,NULL,NULL
ob066-0021,imp,NULL,NULL
ob066-0022,imp,NULL,NULL
ob074-0000,gz,NULL,NULL
ob074-0001,gz,NULL,NULL
ob074-0002,gz,NULL,NULL
ob074-0003,gz,NULL,NULL
ob074-0004,gz,NULL,NULL
ob074-0005,gz,NULL,NULL
ob074-0006,gz,NULL,NULL
ob074-0007,gz,NULL,NULL
ob074-0008,gz,NULL,NULL
ob074-0009,gz,NULL,NULL
ob074-0010,gz,NULL,NULL
ob074-0011,gz,NULL,NULL
ob090-0000,gz,NULL,NULL
ob090-0001,gz,NULL,NULL
ob090-0002,gz,NULL,NULL
ob090-0003,gz,NULL,NULL
ob090-0004,gz,NULL,NULL
ob090-0005,gz,NULL,NULL
ob090-0006,gz,NULL,NULL
ob090-0007,giraffe,NULL,NULL
ob090-0008,gz,NULL,NULL
ob090-0009,gz,NULL,NULL
ob090-0010,gz,NULL,NULL
ob090-0011,gz,NULL,NULL
ob090-0012,gz,NULL,NULL
ob090-0013,gz,NULL,NULL
ob090-0014,gz,NULL,NULL
ob090-0015,gz,NULL,NULL
ob090-0016,gz,NULL,NULL
ob090-0017,gz,NULL,NULL
ob090-0018,gz,NULL,NULL
ob090-0019,gz,NULL,NULL
ob090-0020,gz,NULL,NULL
ob090-0021,giraffe,NULL,NULL
ob090-0022,giraffe,NULL,NULL
ob090-0023,gz,NULL,NULL
ob090-0024,gz,NULL,NULL
ob090-0025,gz,NULL,NULL
ob090-0026,gz,NULL,NULL
ob090-0027,gz,NULL,NULL
ob090-0028,gz,NULL,NULL
ob090-0029,gz,NULL,NULL
ob090-0030,gz,NULL,NULL
ob090-0031,gz,NULL,NULL
ob090-0032,gz,NULL,NULL
ob090-0033,gz,NULL,NULL
ob102-0000,pz,NULL,NULL
ob102-0001,pz,NULL,NULL
ob102-0002,pz,NULL,NULL
ob102-0003,pz,NULL,NULL
ob102-0004,pz,NULL,NULL
ob102-0005,pz,NULL,NULL
