file,score
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation044/individual_images/track-0/segment-0/frame_00_01290.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation034/individual_images/track-57/segment-2/frame_57_20612.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation044/individual_images/track-15/segment-0/frame_15_07961.jpg,head-down
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation034/individual_images/track-61/segment-2/frame_61_20577.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation070/individual_images/track-0/segment-4/frame_00_47056.jpg,head-down
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation082/individual_images/track-26/segment-6/frame_26_63469.jpg,head-down
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation036/individual_images/track-6/segment-0/frame_06_01325.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation066/individual_images/track-3/segment-8/frame_03_80965.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation092/individual_images/track-12/segment-0/frame_12_02965.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation046/individual_images/track-38/segment-1/frame_38_18499.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation053/individual_images/track-36/segment-6/frame_36_60118.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation034/individual_images/track-12/segment-1/frame_12_10601.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation066/individual_images/track-13/segment-8/frame_13_80060.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation092/individual_images/track-9/segment-0/frame_09_02543.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation090/individual_images/track-5/segment-0/frame_05_00154.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation074/individual_images/track-3/segment-1/frame_03_18555.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation082/individual_images/track-39/segment-3/frame_39_33009.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation074/individual_images/track-11/segment-4/frame_11_49442.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation090/individual_images/track-15/segment-0/frame_15_05796.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation074/individual_images/track-8/segment-5/frame_08_50483.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation082/individual_images/track-14/segment-0/frame_14_07206.jpg,head-down
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation102/individual_images/track-7/segment-3/frame_07_30101.jpg,head-down
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation070/individual_images/track-18/segment-5/frame_18_55167.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation102/individual_images/track-0/segment-0/frame_00_09810.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation015/individual_images/track-15/segment-1/frame_15_16440.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation070/individual_images/track-17/segment-5/frame_17_54887.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation066/individual_images/track-0/segment-1/frame_00_10141.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation070/individual_images/track-17/segment-5/frame_17_57204.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation015/individual_images/track-5/segment-0/frame_05_05515.jpg,head-down
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation082/individual_images/track-30/segment-7/frame_30_76683.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation082/individual_images/track-45/segment-7/frame_45_76807.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation066/individual_images/track-5/segment-8/frame_05_80263.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation034/individual_images/track-62/segment-2/frame_62_21821.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation044/individual_images/track-13/segment-0/frame_13_05008.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation066/individual_images/track-12/segment-6/frame_12_63952.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation015/individual_images/track-8/segment-0/frame_08_00011.jpg,head-up
/kenya_drones/processing/kenya-tracking/processed-videos/raw-footage/observation090/individual_images/track-17/segment-5/frame_17_53202.jpg,head-down
